,LONGNAME,name,STATION_ID,LINES,zone,lat,lon,jaro_score
67,103rd Street (Beverly Hills),103rd Street (Beverly Hills),7128.0,Rock Is.,Zone 2,41.706224,-87.668884,1.0
33,103rd Street (Rosemoor),103rd Street (Rosemoor),5130.0,Electric,Zone 2,41.706983,-87.607304,1.0
34,107th Street,107th Street,5135.0,Electric,Zone 2,41.699607,-87.608997,1.0
68,107th Street (Beverly Hills),107th Street (Beverly Hills),7133.0,Rock Is.,Zone 2,41.699022,-87.669756,1.0
35,111th Street,111th Street,5140.0,Electric,Zone 2,41.692722,-87.610574,1.0
35,111th Street,107th Street,5140.0,Electric,Zone 2,41.699607,-87.608997,0.888888888888889
69,111th Street (Morgan Park),111th Street (Morgan Park),7138.0,Rock Is.,Zone 2,41.692676,-87.670533,1.0
70,115th Street (Morgan Park),115th Street (Morgan Park),7143.0,Rock Is.,Zone 2,41.685032,-87.671456,1.0
71,119th Street,119th Street,7148.0,Rock Is.,Zone 2,41.676576,-87.672483,1.0
72,123rd Street,123rd Street,7152.0,Rock Is.,Zone 2,41.670346,-87.673584,1.0
81,143rd Street (Orland Park),143rd Street (Orland Park),8236.0,SWS,Zone 4,41.631816,-87.858284,1.0
39,147th Street (Sibley Boulevard),147th Street (Sibley Boulevard),5190.0,Electric,Zone 2,41.622699,-87.635967,1.0
82,153rd Street (Orland Park),153rd Street (Orland Park),8248.0,SWS,Zone 4,41.611246,-87.873282,1.0
83,179th Street (Orland Park),179th Street (Orland Park),8289.0,SWS,Zone 4,41.56381,-87.902486,1.0
19,18th Street,18th Street,5022.0,Electric,Zone 2,41.857918,-87.618033,1.0
46,211th Street (Lincoln Highway),211th Street (Lincoln Highway),5276.0,Electric,Zone 3,41.50631,-87.698144,1.0
21,27th Street,27th Street,5032.0,Electric,Zone 2,41.844244,-87.613467,1.0
22,47th Street (Kenwood),47th Street (Kenwood),5059.0,Electric,Zone 2,41.809541,-87.591262,1.0
23,53rd Street (Hyde Park),53rd Street (Hyde Park),5065.0,Electric,Zone 2,41.799711,-87.587009,1.0
24,55th-56th-57th Street,55th-56th-57th Street,5070.0,Electric,Zone 2,41.793272,-87.587641,1.0
25,59th Street (University of Chicago),59th Street (University of Chicago),5074.0,"Electric, S. Shore",Zone 2,41.787652,-87.588946,1.0
26,63rd Street,63rd Street,5079.0,"Electric, S. Shore",Zone 2,41.779863,-87.590699,1.0
27,75th Street (Grand Crossing),75th Street (Grand Crossing),5093.0,Electric,Zone 2,41.758978,-87.595437,1.0
28,79th Street (Chatham),79th Street (Chatham),5100.0,Electric,Zone 2,41.750852,-87.597284,1.0
59,80th Avenue (Tinley Park),80th Avenue (Tinley Park),6251.0,Rock Is.,Zone 4,41.564439,-87.809547,1.0
5,83rd Street,83rd Street,1120.0,Electric,Zone 2,41.74538,-87.551571,1.0
29,83rd Street (Avalon Park),83rd Street (Avalon Park),5104.0,Electric,Zone 2,41.744226,-87.598793,1.0
6,87th Street,87th Street,1125.0,Electric,Zone 2,41.738188,-87.548295,1.0
30,87th Street (Woodruff),87th Street (Woodruff),5109.0,Electric,Zone 2,41.736968,-87.600446,1.0
64,91st Street (Beverly Hills),91st Street (Beverly Hills),7113.0,Rock Is.,Zone 2,41.727982,-87.667174,1.0
64,91st Street (Beverly Hills),95th Street (Beverly Hills),7113.0,Rock Is.,Zone 2,41.721474,-87.667506,0.9506172839506174
31,91st Street (Chesterfield),91st Street (Chesterfield),5114.0,Electric,Zone 2,41.729736,-87.602097,1.0
7,91st Street (South Chicago),93rd Street (South Chicago),1130.0,Electric,Zone 2,41.726963,-87.547785,0.8703703703703703
65,95th Street (Beverly Hills),91st Street (Beverly Hills),7117.0,Rock Is.,Zone 2,41.727982,-87.667174,0.9506172839506174
65,95th Street (Beverly Hills),95th Street (Beverly Hills),7117.0,Rock Is.,Zone 2,41.721474,-87.667506,1.0
32,95th Street (Chicago State University),95th Street (Chicago State University),5120.0,Electric,Zone 2,41.721763,-87.603938,1.0
66,99th Street (Beverly Hills),99th Street (Beverly Hills),7123.0,Rock Is.,Zone 2,41.713743,-87.66732,1.0
206,Antioch,Antioch,16528.0,NCS,Zone 4,42.481459,-88.092344,1.0
167,Arlington Heights,Arlington Heights,13228.0,UP-NW,Zone 3,42.084143,-87.983688,1.0
168,Arlington Park,Arlington Park,13244.0,UP-NW,Zone 3,42.095444,-88.009061,1.0
76,Ashburn,Ashburn,8126.0,SWS,Zone 2,41.74189,-87.712457,1.0
13,Ashland Avenue,Ashland Avenue,4179.0,Electric,Zone 2,41.669389,-87.660639,1.0
112,Aurora,Aurora,10380.0,BNSF,Zone 4,41.759471,-88.309103,1.0
170,Barrington,Barrington,13319.0,UP-NW,Zone 4,42.15289,-88.132166,1.0
151,Bartlett,Bartlett,12301.0,Milw-W,Zone 4,41.992513,-88.186114,1.0
118,Bellwood,Bellwood,11126.0,UP-W,Zone 2,41.891432,-87.882675,1.0
108,Belmont,Belmont,10226.0,BNSF,Zone 4,41.795464,-88.038118,1.0
144,Bensenville,Bensenville,12172.0,Milw-W,Zone 3,41.95702,-87.941829,1.0
119,Berkeley,Berkeley,11143.0,UP-W,Zone 2,41.89618,-87.91575,1.0
92,Berwyn,Berwyn,10096.0,BNSF,Zone 2,41.833312,-87.793519,1.0
154,Big Timber Road,Big Timber Road,12398.0,Milw-W,Zone 4,42.058654,-88.327867,1.0
15,Blue Island,Blue Island,4189.0,Electric,Zone 2,41.656006,-87.675906,1.0
54,Blue Island (Vermont Street),Blue Island (Vermont Street),6157.0,Rock Is.,Zone 2,41.654709,-87.677576,1.0
218,Braeside,Braeside,17205.0,UP-N,Zone 3,42.152784,-87.772685,1.0
63,Brainerd,Brainerd,7106.0,Rock Is.,Zone 2,41.732226,-87.658968,1.0
96,Brookfield,Brookfield,10123.0,BNSF,Zone 2,41.822138,-87.843239,1.0
1,Bryn Mawr,Bryn Mawr,1097.0,Electric,Zone 2,41.766154,-87.577146,1.0
199,Buffalo Grove,Buffalo Grove,16295.0,NCS,Zone 4,42.169109,-87.941447,1.0
14,Burr Oak,Burr Oak,4184.0,Electric,Zone 2,41.66234,-87.668805,1.0
42,Calumet,Calumet,5228.0,Electric,Zone 2,41.572888,-87.662665,1.0
172,Cary,Cary,13386.0,UP-NW,Zone 4,42.209112,-88.241405,1.0
211,Central Street (Evanston),Central Street (Evanston),17133.0,UP-N,Zone 2,42.064012,-87.698187,1.0
4,Cheltenham (79th Street),Cheltenham (79th Street),1115.0,Electric,Zone 2,41.752153,-87.55267,1.0
78,Chicago Ridge,Chicago Ridge,8168.0,SWS,Zone 3,41.703308,-87.780589,1.0
90,Cicero,Cicero,10070.0,BNSF,Zone 2,41.844252,-87.745156,1.0
104,Clarendon Hills,Clarendon Hills,10183.0,BNSF,Zone 3,41.79715,-87.954051,1.0
156,Clybourn,Clybourn,13029.0,"UP-N, UP-NW",Zone 2,41.917366,-87.668177,1.0
124,College Avenue,College Avenue,11238.0,UP-W,Zone 4,41.868301,-88.09037,1.0
97,Congress Park,Congress Park,10131.0,BNSF,Zone 3,41.818917,-87.857571,1.0
173,Crystal Lake,Crystal Lake,13432.0,UP-NW,Zone 4,42.244181,-88.317016,1.0
