STATION_ID,LONGNAME,name,,LINES,zone,lat,lon,jaro_score
7128,103rd Street (Beverly Hills),103rd Street (Beverly Hills),,Rock Is.,Zone 2,41.706224,-87.668884,1
5130,103rd Street (Rosemoor),103rd Street (Rosemoor),,Electric,Zone 2,41.706983,-87.607304,1
5135,107th Street,107th Street,,Electric,Zone 2,41.699607,-87.608997,1
7133,107th Street (Beverly Hills),107th Street (Beverly Hills),,Rock Is.,Zone 2,41.699022,-87.669756,1
5140,111th Street,111th Street,,Electric,Zone 2,41.692722,-87.610574,1
7138,111th Street (Morgan Park),111th Street (Morgan Park),,Rock Is.,Zone 2,41.692676,-87.670533,1
7143,115th Street (Morgan Park),115th Street (Morgan Park),,Rock Is.,Zone 2,41.685032,-87.671456,1
7148,119th Street,119th Street,,Rock Is.,Zone 2,41.676576,-87.672483,1
7152,123rd Street,123rd Street,,Rock Is.,Zone 2,41.670346,-87.673584,1
8236,143rd Street (Orland Park),143rd Street (Orland Park),,SWS,Zone 4,41.631816,-87.858284,1
5190,147th Street (Sibley Boulevard),147th Street (Sibley Boulevard),,Electric,Zone 2,41.622699,-87.635967,1
8248,153rd Street (Orland Park),153rd Street (Orland Park),,SWS,Zone 4,41.611246,-87.873282,1
8289,179th Street (Orland Park),179th Street (Orland Park),,SWS,Zone 4,41.56381,-87.902486,1
5022,18th Street,18th Street,,Electric,Zone 2,41.857918,-87.618033,1
5276,211th Street (Lincoln Highway),211th Street (Lincoln Highway),,Electric,Zone 3,41.50631,-87.698144,1
5032,27th Street,27th Street,,Electric,Zone 2,41.844244,-87.613467,1
5059,47th Street (Kenwood),47th Street (Kenwood),,Electric,Zone 2,41.809541,-87.591262,1
5065,53rd Street (Hyde Park),53rd Street (Hyde Park),,Electric,Zone 2,41.799711,-87.587009,1
5070,55th-56th-57th Street,55th-56th-57th Street,,Electric,Zone 2,41.793272,-87.587641,1
5074,59th Street (University of Chicago),59th Street (University of Chicago),,"Electric, S. Shore",Zone 2,41.787652,-87.588946,1
5079,63rd Street,63rd Street,,"Electric, S. Shore",Zone 2,41.779863,-87.590699,1
5093,75th Street (Grand Crossing),75th Street (Grand Crossing),,Electric,Zone 2,41.758978,-87.595437,1
5100,79th Street (Chatham),79th Street (Chatham),,Electric,Zone 2,41.750852,-87.597284,1
6251,80th Avenue (Tinley Park),80th Avenue (Tinley Park),,Rock Is.,Zone 4,41.564439,-87.809547,1
1120,83rd Street,83rd Street,,Electric,Zone 2,41.74538,-87.551571,1
5104,83rd Street (Avalon Park),83rd Street (Avalon Park),,Electric,Zone 2,41.744226,-87.598793,1
1125,87th Street,87th Street,,Electric,Zone 2,41.738188,-87.548295,1
5109,87th Street (Woodruff),87th Street (Woodruff),,Electric,Zone 2,41.736968,-87.600446,1
7113,91st Street (Beverly Hills),91st Street (Beverly Hills),,Rock Is.,Zone 2,41.727982,-87.667174,1
5114,91st Street (Chesterfield),91st Street (Chesterfield),,Electric,Zone 2,41.729736,-87.602097,1
1130,91st Street (South Chicago),93rd Street (South Chicago),,Electric,Zone 2,41.726963,-87.547785,0.8703703703703703
7117,95th Street (Beverly Hills),95th Street (Beverly Hills),,Rock Is.,Zone 2,41.721474,-87.667506,1
5120,95th Street (Chicago State University),95th Street (Chicago State University),,Electric,Zone 2,41.721763,-87.603938,1
7123,99th Street (Beverly Hills),99th Street (Beverly Hills),,Rock Is.,Zone 2,41.713743,-87.66732,1
16528,Antioch,Antioch,,NCS,Zone 4,42.481459,-88.092344,1
13228,Arlington Heights,Arlington Heights,,UP-NW,Zone 3,42.084143,-87.983688,1
13244,Arlington Park,Arlington Park,,UP-NW,Zone 3,42.095444,-88.009061,1
8126,Ashburn,Ashburn,,SWS,Zone 2,41.74189,-87.712457,1
4179,Ashland Avenue,Ashland Avenue,,Electric,Zone 2,41.669389,-87.660639,1
10380,Aurora,Aurora,,BNSF,Zone 4,41.759471,-88.309103,1
13319,Barrington,Barrington,,UP-NW,Zone 4,42.15289,-88.132166,1
12301,Bartlett,Bartlett,,Milw-W,Zone 4,41.992513,-88.186114,1
11126,Bellwood,Bellwood,,UP-W,Zone 2,41.891432,-87.882675,1
10226,Belmont,Belmont,,BNSF,Zone 4,41.795464,-88.038118,1
12172,Bensenville,Bensenville,,Milw-W,Zone 3,41.95702,-87.941829,1
11143,Berkeley,Berkeley,,UP-W,Zone 2,41.89618,-87.91575,1
10096,Berwyn,Berwyn,,BNSF,Zone 2,41.833312,-87.793519,1
12398,Big Timber Road,Big Timber Road,,Milw-W,Zone 4,42.058654,-88.327867,1
4189,Blue Island,Blue Island,,Electric,Zone 2,41.656006,-87.675906,1
6157,Blue Island (Vermont Street),Blue Island (Vermont Street),,Rock Is.,Zone 2,41.654709,-87.677576,1
17205,Braeside,Braeside,,UP-N,Zone 3,42.152784,-87.772685,1
7106,Brainerd,Brainerd,,Rock Is.,Zone 2,41.732226,-87.658968,1
10123,Brookfield,Brookfield,,BNSF,Zone 2,41.822138,-87.843239,1
1097,Bryn Mawr,Bryn Mawr,,Electric,Zone 2,41.766154,-87.577146,1
16295,Buffalo Grove,Buffalo Grove,,NCS,Zone 4,42.169109,-87.941447,1
4184,Burr Oak,Burr Oak,,Electric,Zone 2,41.66234,-87.668805,1
5228,Calumet,Calumet,,Electric,Zone 2,41.572888,-87.662665,1
13386,Cary,Cary,,UP-NW,Zone 4,42.209112,-88.241405,1
17133,Central Street (Evanston),Central Street (Evanston),,UP-N,Zone 2,42.064012,-87.698187,1
1115,Cheltenham (79th Street),Cheltenham (79th Street),,Electric,Zone 2,41.752153,-87.55267,1
8168,Chicago Ridge,Chicago Ridge,,SWS,Zone 3,41.703308,-87.780589,1
10070,Cicero,Cicero,,BNSF,Zone 2,41.844252,-87.745156,1
10183,Clarendon Hills,Clarendon Hills,,BNSF,Zone 3,41.79715,-87.954051,1
13029,Clybourn,Clybourn,,"UP-N, UP-NW",Zone 2,41.917366,-87.668177,1
11238,College Avenue,College Avenue,,UP-W,Zone 4,41.868301,-88.09037,1
10131,Congress Park,Congress Park,,BNSF,Zone 3,41.818917,-87.857571,1
13432,Crystal Lake,Crystal Lake,,UP-NW,Zone 4,42.244181,-88.317016,1
13186,Cumberland,Cumberland,,UP-NW,Zone 3,42.052292,-87.912279,1
